timestep,value
0,32.46581598451718
1,32.580599748402676
2,29.311512433796963
3,27.795762740880093
4,25.91861911943539
5,20.081178151875577
6,29.560628854542813
7,33.01467319658383
8,34.16251369646176
9,40.724245034962735
10,43.57329364946469
11,43.76476856401547
12,43.77328869035824
13,40.07062812975033
14,35.42864509752377
15,31.66734071901425
16,27.890497409611783
17,22.669581496029934
18,26.569730006962857
19,29.502485238820157
20,32.97858425310238
21,34.580547296315274
22,32.09339424303158
23,34.03620048692807
24,34.74395176103695
25,39.82101150682553
26,45.00633999040707
27,45.58076091936215
28,43.85248371294125
29,43.68106075456723
30,42.451017343312344
31,40.40295120409115
32,38.25187965562924
33,36.100808107167325
34,37.27922340562924
35,38.50926681688412
36,39.1734094255267
37,38.97140976122006
38,37.523327791005215
39,37.17496486833676
40,36.25869842699154
41,34.889310800343594
42,34.732423745900235
43,35.881766282826504
44,36.61357685258969
45,38.32681461504086
46,38.68319698503598
47,39.0816821687518
48,39.58743282487973
49,40.57337185075863
50,42.49713131120785
51,42.18636127641781
52,39.69018837144955
53,41.36833950212582
54,39.94130893877133
55,33.41215702226742
56,28.332590781956753
57,26.053452693730435
58,23.774314486294827
59,26.44141241243466
60,27.39978333643063
61,26.268985831051907
62,28.989716493397793
63,20.143833123951993
64,7.46797558000668
65,22.51720472505673
66,37.57746120622738
67,42.54274364641293
68,47.6087760560809
69,49.08242222002133
70,48.690452539235196
71,50.96658321550473
72,53.08332058122738
73,55.543405496388516
74,56.987977945118985
75,56.61505695512875
76,53.91437526872738
77,47.88295551469906
78,38.01855274370297
79,31.610198938160977
80,41.888124429493985
81,43.65449329546078
82,42.18009754350766
83,40.7056998842059
84,38.096745454579434
85,40.269620858937344
86,40.46560569933041
87,38.58946510484799
88,37.06218715837582
89,36.88123890092953
90,36.43062397173031
91,37.31631561449154
92,38.40550991228207
93,40.54680725267514
94,43.159269296437344
95,43.87103077104672
96,45.779752694874844
97,45.116613351613125
98,45.11460682085141
99,43.34873958757504
100,42.073583566456875
101,42.07659145525082
102,37.72532650163754
103,38.05313869646176
104,36.078753434926114
105,31.0367807977496
106,32.62571140459164
107,26.789523565083584
108,20.953335963994107
109,16.72938629320248
